id	molecular_formula	name	inchi	inchi_key
C00001	H2O	H2O		
C00002	C10H16N5O13P3	ATP		
C00003	C21H28N7O14P2	NAD+		
C00004	C21H29N7O14P2	NADH		
C00005	C21H30N7O17P3	NADPH		
C00006	C21H29N7O17P3	NADP+		
C00007	O2	Oxygen		
C00008	C10H15N5O10P2	ADP		
C00009	H3O4P	Orthophosphate		
C00010	C21H36N7O16P3S	CoA		
C00011	CO2	CO2		
C00012	C2H4NO2R(C2H2NOR)n	Peptide		
C00013	H4O7P2	Diphosphate		
C00014	H3N	Ammonia		
C00015	C9H14N2O12P2	UDP		
C00016	C27H33N9O15P2	FAD		
C00017	C2H4NO2R(C2H2NOR)n	Protein		
C00018	C8H10NO6P	Pyridoxal phosphate		
C00019	C15H22N6O5S	S-Adenosyl-L-methionine		
C00020	C10H14N5O7P	AMP		
C00021	C14H20N6O5S	S-Adenosyl-L-homocysteine		
C00022	C3H4O3	Pyruvate		
C00023	Fe	Iron		
C00024	C23H38N7O17P3S	Acetyl-CoA		
C00025	C5H9NO4	L-Glutamate		
C00026	C5H6O5	2-Oxoglutarate		
C00027	H2O2	Hydrogen peroxide		
C00028		Acceptor		
C00029	C15H24N2O17P2	UDP-glucose		
C00030		Reduced acceptor		
C00031	C6H12O6	D-Glucose		
C00032	C34H32FeN4O4	Heme		
C00033	C2H4O2	Acetate		
C00034	Mn	Manganese		
C00035	C10H15N5O11P2	GDP		
C00036	C4H4O5	Oxaloacetate		
C00037	C2H5NO2	Glycine		
C00038	Zn	Zinc cation		
C00039	C10H17O8PR2(C5H8O5PR)n	DNA		
C00040	C22H35N7O17P3SR	Acyl-CoA		
C00041	C3H7NO2	L-Alanine		
C00042	C4H6O4	Succinate		
C00043	C17H27N3O17P2	UDP-N-acetyl-alpha-D-glucosamine		
C00044	C10H16N5O14P3	GTP		
C00045	C2H4NO2R	Amino acid		
C00046	C10H18O13P2R2(C5H8O6PR)n	RNA		
C00047	C6H14N2O2	L-Lysine		
C00048	C2H2O3	Glyoxylate		
C00049	C4H7NO4	L-Aspartate		
C00050		Metal		
C00051	C10H17N3O6S	Glutathione		
C00052	C15H24N2O17P2	UDP-alpha-D-galactose		
C00053	C10H15N5O13P2S	3'-Phosphoadenylyl sulfate		
C00054	C10H15N5O10P2	"Adenosine 3',5'-bisphosphate"		
C00055	C9H14N3O8P	CMP		
C00058	CH2O2	Formate		
C00059	H2O4S	Sulfate		
C00060	CO2R	Carboxylate		
C00061	C17H21N4O9P	FMN		
C00062	C6H14N4O2	L-Arginine		
C00063	C9H16N3O14P3	CTP		
C00064	C5H10N2O3	L-Glutamine		
C00065	C3H7NO3	L-Serine		
C00066	C10H17O10PR2(C5H8O6PR)n	tRNA		
C00067	CH2O	Formaldehyde		
C00068	C12H19N4O7P2S	Thiamin diphosphate		
C00069	HOR	Alcohol		
C00070	Cu	Copper		
C00071	CHOR	Aldehyde		
C00072	C6H8O6	Ascorbate		
C00073	C5H11NO2S	L-Methionine		
C00074	C3H5O6P	Phosphoenolpyruvate		
C00075	C9H15N2O15P3	UTP		
C00076	Ca	Calcium cation		
C00077	C5H12N2O2	L-Ornithine		
C00078	C11H12N2O2	L-Tryptophan		
C00079	C9H11NO2	L-Phenylalanine		
C00080	H	H+		
C00081	C10H15N4O14P3	ITP		
C00082	C9H11NO3	L-Tyrosine		
C00083	C24H38N7O19P3S	Malonyl-CoA		
C00084	C2H4O	Acetaldehyde		
C00085	C6H13O9P	D-Fructose 6-phosphate		
C00086	CH4N2O	Urea		
C00087	S	Sulfur		
C00088	HNO2	Nitrite		
C00089	C12H22O11	Sucrose		
C00090	C6H6O2	Catechol		
C00091	C25H40N7O19P3S	Succinyl-CoA		
C00092	C6H13O9P	D-Glucose 6-phosphate		
C00093	C3H9O6P	sn-Glycerol 3-phosphate		
C00094	H2O3S	Sulfite		
C00095	C6H12O6	D-Fructose		
C00096	C16H25N5O16P2	GDP-mannose		
C00097	C3H7NO2S	L-Cysteine		
C00098	C2H4NO2R(C2H2NOR)n	Oligopeptide		
C00099	C3H7NO2	beta-Alanine		
C00100	C24H40N7O17P3S	Propanoyl-CoA		
C00101	C19H23N7O6	Tetrahydrofolate		
C00102	C12H7Cl2NO2	"2,6-Dichloroindophenol"		
C00103	C6H13O9P	D-Glucose 1-phosphate		
C00104	C10H14N4O11P2	IDP		
C00105	C9H13N2O9P	UMP		
C00106	C4H4N2O2	Uracil		
C00107	C4H6N2O3R2	Dipeptide		
C00108	C7H7NO2	Anthranilate		
C00109	C4H6O3	2-Oxobutanoate		
C00110	C20H37O4P(C5H8)n	Dolichyl phosphate		
C00111	C3H7O6P	Glycerone phosphate		
C00112	C9H15N3O11P2	CDP		
C00113	C14H6N2O8	PQQ		
C00114	C5H14NO	Choline		
C00116	C3H8O3	Glycerol		
C00117	C5H11O8P	D-Ribose 5-phosphate		
C00118	C3H7O6P	D-Glyceraldehyde 3-phosphate		
C00119	C5H13O14P3	5-Phospho-alpha-D-ribose 1-diphosphate		
C00120	C10H16N2O3S	Biotin		
C00121	C5H10O5	D-Ribose		
C00122	C4H4O4	Fumarate		
C00123	C6H13NO2	L-Leucine		
C00124	C6H12O6	D-Galactose		
C00125	C42H44FeN8O8S2R4	Ferricytochrome c		
C00126	C42H44FeN8O8S2R4	Ferrocytochrome c		
C00127	C20H32N6O12S2	Glutathione disulfide		
